feature,importance
followers_count,3632
likes,3453
comment_to_like_ratio,2168
share_to_like_ratio,1993
shares,1784
comments,1677
account_age_days,1480
following_count,1266
content_length,1209
follow_ratio,1075
user_age,1028
content_engagement_density,1023
log_followers,696
account_maturity,270
has_media,227
user_gender_male,129
user_gender_other,116
device_tablet,106
language_en,105
device_iphone,101
language_fr,95
language_tr,94
device_web,90
language_es,79
topic_finance,63
topic_fashion,54
topic_education,54
topic_health,50
topic_memes,48
topic_travel,48
topic_politics,45
topic_music,42
topic_technology,34
topic_books,27
topic_pets,26
topic_gaming,26
topic_photography,25
topic_food,24
topic_fitness,22
is_verified,20
is_micro_influencer,12
