user_gender,user_age,followers_count,following_count,is_verified,topic,content_length,has_media,device,language,likes,comments,shares,engagement_rate,account_age_days,engagement_tier
female,27,38088,5863,0,music,138,1,iphone,fr,1207,178,88,0.07500156945934297,865,high
male,42,9947,6112,0,pets,116,0,tablet,fr,434,60,40,0.06183392188727193,3511,low
female,33,65722,7305,0,health,126,1,iphone,es,1940,118,144,0.06893672437041716,3109,high
male,43,154929,2328,0,photography,129,0,iphone,de,4230,415,286,0.06403260183266075,292,medium
male,52,46120,4444,0,technology,77,0,iphone,tr,2503,209,248,0.06826682223285102,2706,medium
other,42,39204,737,0,health,83,0,web,de,1884,215,46,0.0642710643026876,843,medium
other,45,35871,7651,0,photography,127,0,iphone,es,1238,80,23,0.07061311137960487,771,high
female,53,75320,5078,0,books,148,1,android,es,2634,202,36,0.05387680198847875,2235,low
other,45,6574,9768,0,food,182,1,tablet,en,210,11,4,0.06523718278604156,2464,medium
male,19,65450,3270,1,food,173,1,android,fr,2674,251,131,0.06443725571859484,2721,medium
other,28,104947,8993,0,politics,124,0,web,en,2960,357,252,0.06058385593558146,2854,low
male,55,112940,7925,0,education,211,1,android,de,3214,253,45,0.07058170947780636,3200,high
male,25,100427,9203,0,travel,94,1,web,fr,3294,279,82,0.06322259512996538,1836,low
female,19,50290,8095,0,books,54,1,iphone,tr,1348,102,130,0.0774961359091549,842,high
male,37,98776,6607,0,books,77,1,iphone,tr,3044,215,107,0.07111238076286158,1217,high
female,39,59282,595,0,fitness,100,0,android,fr,2337,295,212,0.06378305159947284,1155,medium
male,37,91022,7424,0,health,126,0,tablet,en,2924,196,171,0.06643535935854811,2707,medium
other,34,35913,7119,0,fashion,106,1,web,de,1484,185,106,0.06961001725858482,325,high
other,21,158042,5476,0,pets,48,1,tablet,tr,4447,653,78,0.0752920324959216,1930,high
other,26,51660,9423,0,fashion,148,0,tablet,es,1705,129,81,0.06565634742351913,1948,medium
male,32,108571,7731,0,memes,158,1,web,en,3788,363,162,0.06702191964509367,1927,medium
male,18,93144,2520,0,food,127,0,iphone,fr,3631,525,157,0.06780072247741015,2563,medium
other,16,86806,5691,0,memes,141,0,tablet,tr,2323,303,133,0.06789519677738198,1857,medium
other,27,50569,9423,0,fashion,64,0,android,en,1759,126,78,0.07221789936322574,2264,high
other,26,47100,7994,0,music,129,1,web,es,1672,123,63,0.06223504594781433,2911,low
female,33,37267,1652,0,memes,147,0,iphone,es,1383,92,49,0.0632985155536004,1343,medium
other,31,5475,3131,0,food,162,1,tablet,tr,172,13,13,0.06561295700631786,3402,medium
female,27,146776,6703,0,gaming,143,1,web,de,4563,277,374,0.06261246332005715,989,low
female,16,214,905,0,gaming,179,1,tablet,tr,4,0,0,0.030596649131990422,1010,low
male,53,58463,5319,0,finance,93,0,android,fr,1826,235,53,0.06331528943395703,1594,medium
female,16,151737,4123,0,memes,209,1,android,tr,3584,394,83,0.07448094817947634,3194,high
male,42,69234,3694,0,finance,197,0,tablet,tr,2473,260,88,0.06346891215561067,52,medium
other,22,48875,6010,0,art,116,0,iphone,en,1783,214,118,0.07115172002768204,1596,high
male,22,9928,9661,0,music,88,0,iphone,es,411,36,35,0.0550295852408049,1713,low
male,24,47063,7970,0,memes,79,1,iphone,de,1358,70,21,0.0626345356935329,1419,low
other,49,54120,1109,0,food,98,0,web,tr,1463,76,31,0.060434990085712625,3031,low
other,26,50339,7994,0,memes,157,0,tablet,tr,1677,120,133,0.061924307071355336,2990,low
male,20,111875,7885,0,memes,114,1,iphone,tr,4495,599,395,0.07148747493941732,1677,high
male,50,33146,2546,0,photography,151,0,android,en,1270,185,23,0.06151333683119076,129,low
male,45,164698,2908,0,memes,132,0,tablet,de,4862,625,87,0.053818957959840825,451,low
female,42,36880,3953,0,gaming,147,1,iphone,tr,1090,148,88,0.07689371475585427,343,high
other,33,88709,8971,0,books,207,1,web,es,2629,300,172,0.068226932031433,1601,medium
female,29,76721,8923,0,education,110,0,iphone,de,3018,150,236,0.0645435520361049,1826,medium
other,47,56452,6878,1,food,120,0,tablet,de,1864,103,91,0.060253419671745655,116,low
female,53,7673,6971,0,finance,162,1,android,de,240,27,8,0.05516578366141075,2894,low
other,49,133676,3251,0,music,137,1,tablet,tr,4254,595,69,0.06752962199271201,2917,medium
male,30,46809,4999,0,memes,130,1,iphone,tr,1253,98,99,0.07159938764283046,2899,high
female,16,136045,9840,0,health,125,0,android,fr,4256,438,274,0.06694211224695874,459,medium
female,51,28558,9426,0,pets,126,1,web,fr,849,50,29,0.056049500702245736,2223,low
male,17,120293,3132,0,photography,160,1,iphone,tr,4001,556,150,0.06976444452587849,2149,high
male,33,138558,9139,0,education,186,1,iphone,tr,4412,243,125,0.06261321399651039,272,low
female,35,29403,6933,0,fashion,64,1,web,de,908,110,15,0.07344241913888093,83,high
male,50,8507,1057,0,memes,231,1,android,fr,388,38,22,0.06779770579350566,1965,medium
other,37,54747,8351,0,memes,104,1,iphone,en,1869,272,141,0.049807938175456944,32,low
other,51,17605,6727,0,fitness,111,1,android,tr,631,81,24,0.06841697572115364,264,medium
female,26,77908,9385,0,finance,154,1,iphone,fr,3035,269,299,0.06350394957250029,112,medium
male,16,87939,334,0,technology,110,1,android,es,3129,412,295,0.06228371637784703,1095,low
other,35,184840,6879,0,pets,115,1,android,es,4634,246,213,0.06074289778629395,1653,low
male,48,87085,1169,0,pets,153,0,tablet,tr,3460,466,292,0.07158493636527037,3052,high
male,46,10508,1487,0,finance,107,1,iphone,de,298,43,18,0.060338704185044625,0,low
female,42,25214,1655,0,travel,178,0,iphone,es,1275,94,80,0.0698101771055692,807,high
female,48,6174,3298,0,travel,97,1,iphone,fr,196,22,6,0.06229776134546052,419,low
other,54,37077,8419,0,music,212,1,web,en,1165,63,45,0.06142991336431332,99,low
other,34,15843,3154,0,finance,160,1,tablet,fr,466,46,15,0.05922233637963534,1986,low
female,24,38285,1166,0,travel,161,1,iphone,fr,1111,161,87,0.06396538173452909,2302,medium
male,16,172736,1915,0,finance,129,1,tablet,de,4982,319,123,0.06839158943842803,944,medium
other,30,67396,1477,0,pets,215,0,iphone,tr,2468,141,246,0.0590336739228092,2024,low
other,35,57260,1312,0,gaming,187,0,tablet,en,2082,311,193,0.07727149333403793,664,high
other,26,10730,4791,0,music,86,1,iphone,fr,316,20,9,0.06404162475091303,1062,medium
male,34,90176,5267,0,food,153,0,iphone,es,3070,288,96,0.063065035216975,2977,low
female,55,40272,2303,0,photography,176,0,android,de,1720,172,113,0.054443032357901905,2700,low
other,32,99775,5575,0,finance,92,1,web,fr,4285,256,81,0.06096713169620948,3224,low
male,51,24679,8957,0,photography,164,0,iphone,fr,1022,52,41,0.06698812790354292,1265,medium
male,16,67026,9544,0,memes,202,1,iphone,es,1993,246,144,0.05955863688518739,931,low
female,34,21494,7582,0,fitness,91,1,web,fr,709,81,13,0.06911214259537063,924,high
female,49,20125,9409,0,memes,150,0,iphone,en,581,55,29,0.06536202911074968,151,medium
male,44,98661,6338,0,fitness,145,1,tablet,tr,3690,228,284,0.06340046721521933,300,medium
other,18,2740,1859,0,gaming,119,1,web,en,93,8,2,0.07190419736337939,500,high
male,29,77258,3429,0,health,148,0,android,de,2251,139,210,0.0528111815522018,3403,low
other,48,136264,6499,0,gaming,87,0,iphone,en,4872,579,126,0.06823688111276376,626,medium
female,45,81465,1057,0,education,73,0,iphone,de,2518,340,210,0.08094691492531221,2758,high
female,33,118072,8778,0,photography,221,1,android,tr,4599,555,257,0.07712206110903994,1500,high
female,23,92637,9196,0,food,145,1,web,tr,3330,346,295,0.07086324805440959,310,high
male,29,111823,3756,0,food,116,1,android,es,4019,425,382,0.06696594895873753,2904,medium
female,19,108466,9893,0,pets,179,1,tablet,tr,4823,481,51,0.06116543160663684,1528,low
male,36,3527,3425,0,music,88,1,android,en,126,16,10,0.079387256121209,2661,high
other,45,50267,8423,0,pets,129,1,iphone,de,1861,210,101,0.07069714854527812,3412,high
male,44,138429,2411,0,fashion,99,1,android,fr,4621,526,440,0.06490503010086134,3295,medium
male,54,50201,477,0,finance,122,1,iphone,tr,1533,154,128,0.07280909747921925,956,high
other,32,151536,678,0,politics,92,1,iphone,tr,4586,464,103,0.07580037248009847,3040,high
female,50,120586,725,0,music,152,0,iphone,es,3637,239,260,0.06668422073920728,213,medium
male,32,47983,9312,0,politics,169,1,web,es,1635,218,41,0.05890251014095682,2380,low
female,44,7831,2426,0,fashion,113,0,web,en,280,40,25,0.061439294284785693,2738,low
other,57,30619,2902,0,education,79,0,iphone,en,1029,154,96,0.07574640945406041,2194,high
female,37,84137,6322,0,travel,151,0,android,de,4267,384,370,0.06784070515876457,847,medium
male,42,76657,6338,0,art,108,1,web,de,3702,324,113,0.07129054596132894,231,high
other,32,87120,2314,0,technology,174,0,iphone,en,3880,572,253,0.06535953987501027,545,medium
other,18,18007,7852,0,gaming,119,0,android,es,787,104,40,0.07657317223022236,1306,high
male,18,116409,9007,0,art,123,1,android,fr,3548,335,119,0.06317327360388503,3331,low
other,20,97672,2733,0,music,129,1,web,tr,3907,525,196,0.06266682639801462,316,low
other,21,17760,9875,0,finance,178,0,tablet,es,632,62,41,0.06370826873167432,1814,medium
other,47,71433,2638,0,music,188,0,iphone,en,1977,181,57,0.060375261477219826,3359,low
other,29,76765,5893,0,art,110,0,tablet,de,2706,290,138,0.07675445588832937,2900,high
male,46,22020,168,0,food,116,0,iphone,en,612,63,31,0.06294797238915716,2550,low
other,30,25853,142,0,art,113,1,tablet,en,1106,143,25,0.07298852967297999,112,high
female,55,132316,6739,0,art,177,1,web,es,4611,537,294,0.06490173473340487,1308,medium
other,39,37589,7383,0,books,112,1,android,de,1511,214,33,0.059345049971154605,192,low
male,52,93184,4939,0,finance,58,0,iphone,de,3221,385,154,0.06354091391842284,2987,medium
female,22,97772,4618,0,gaming,152,1,web,es,2704,258,49,0.06804643968024766,3037,medium
other,32,7063,7546,0,gaming,197,1,iphone,fr,360,51,4,0.0633503775636319,1577,medium
male,27,155551,409,0,finance,96,1,android,fr,4846,329,318,0.061225735837078556,3046,low
other,43,4434,7241,0,gaming,80,1,android,es,133,19,2,0.06363883477425553,1875,medium
