feature,importance
comment_to_like_ratio,0.1000603
is_micro_influencer,0.08632033
share_to_like_ratio,0.0860433
shares,0.041398384
log_followers,0.039795764
likes,0.03506896
followers_count,0.034454904
comments,0.027169133
topic_finance,0.020597214
topic_fashion,0.020583982
topic_technology,0.019767936
is_verified,0.018902795
topic_memes,0.018791618
topic_health,0.018713657
topic_pets,0.018643826
content_engagement_density,0.018630505
topic_travel,0.018275319
follow_ratio,0.018256675
topic_politics,0.017983371
topic_food,0.01779656
topic_gaming,0.017194783
topic_books,0.017156526
topic_education,0.016596954
topic_photography,0.016419673
topic_fitness,0.016347226
account_maturity,0.01630705
language_en,0.016113963
device_web,0.01572259
language_fr,0.015636249
following_count,0.015454243
user_age,0.015401884
language_tr,0.015358775
account_age_days,0.015078374
device_iphone,0.015031606
content_length,0.014998
device_tablet,0.014916377
topic_music,0.01451535
language_es,0.014300783
user_gender_male,0.014265444
has_media,0.013205524
user_gender_other,0.012724097
