user_gender,user_age,followers_count,following_count,is_verified,topic,content_length,has_media,device,language,likes,comments,shares,engagement_rate,account_age_days,engagement_tier
other,49,59795,4290,0,technology,158,1,android,de,2970,442,109,0.0589,3467,high
male,50,22335,217,0,travel,122,1,web,de,1140,147,15,0.0583,1502,medium
female,53,2672,4025,0,art,138,1,android,tr,120,8,11,0.052,2442,low
other,53,5268,8803,0,pets,72,0,tablet,de,268,25,13,0.0581,2103,medium
female,42,1387,2986,0,education,172,0,iphone,de,79,11,2,0.0663,2727,high
male,45,35657,186,0,travel,126,0,web,fr,1739,214,34,0.0557,858,low
male,45,26109,3852,0,fashion,147,1,iphone,es,1284,159,68,0.0579,3058,medium
other,29,9663,8164,0,gaming,131,1,tablet,tr,479,55,38,0.0592,1988,high
other,37,88840,6338,0,books,134,1,web,fr,4463,632,114,0.0586,2009,medium
male,39,38135,5481,0,books,86,1,web,tr,1880,118,28,0.0531,2033,low
female,53,56621,416,0,travel,62,0,web,en,2824,166,213,0.0566,2548,low
male,43,3342,7050,0,finance,99,1,web,en,155,14,12,0.0542,3254,low
female,36,10978,2407,0,gaming,131,0,iphone,es,555,46,6,0.0553,1972,low
female,57,16243,662,0,technology,119,0,iphone,en,821,69,25,0.0563,2534,low
male,19,5777,8854,0,politics,97,0,iphone,es,279,39,13,0.0573,2526,medium
other,53,23263,4626,0,books,157,0,web,en,1182,63,22,0.0545,940,low
other,16,74731,364,0,gaming,218,0,android,de,3654,227,266,0.0555,0,low
male,48,51072,4762,0,travel,109,0,web,tr,2517,162,191,0.0562,571,low
other,58,12349,6987,0,education,67,1,tablet,en,604,49,57,0.0575,1254,medium
female,31,91186,6703,0,fitness,209,1,web,en,4568,585,388,0.0608,1030,high
other,20,41519,6442,1,fashion,108,0,iphone,fr,2168,289,189,0.0637,452,high
male,56,75232,8387,0,technology,187,0,android,es,3779,465,151,0.0584,1072,medium
female,37,60522,8413,0,gaming,114,0,tablet,es,2937,243,40,0.0532,232,low
male,60,65909,8227,0,music,140,0,web,fr,3157,345,143,0.0553,396,low
female,56,9743,1300,0,travel,86,1,tablet,tr,480,27,37,0.0558,0,low
male,33,15634,5755,0,gaming,90,1,tablet,de,812,80,44,0.0599,1194,high
female,55,92314,8716,1,memes,114,1,web,en,4571,453,255,0.0572,1347,medium
female,56,48822,7104,0,art,106,0,tablet,fr,2380,164,187,0.0559,2484,low
male,56,93723,7746,0,music,84,0,android,en,4744,420,401,0.0594,2710,high
male,42,80684,2854,0,travel,127,0,iphone,fr,4073,251,92,0.0547,1243,low
other,18,51310,6348,0,health,113,1,android,de,2608,130,82,0.055,1242,low
female,52,5815,8806,0,finance,199,1,android,fr,284,36,13,0.0573,1380,medium
other,42,70918,8603,0,pets,76,0,web,en,3621,336,294,0.0599,3478,high
female,23,80303,663,0,fashion,147,1,android,en,3984,530,57,0.0569,3,medium
female,51,69452,238,0,health,179,1,web,es,3440,409,217,0.0585,1100,medium
female,42,69003,9469,0,health,85,0,android,de,3491,445,300,0.0614,2563,high
other,39,67145,9248,0,travel,125,1,tablet,de,3439,176,90,0.0552,948,low
other,54,17991,418,0,travel,133,1,tablet,de,859,106,78,0.058,2215,medium
female,23,93936,1646,0,gaming,111,0,tablet,es,4751,301,451,0.0586,2421,medium
male,40,62315,4240,0,travel,76,1,web,tr,3162,165,228,0.057,1143,medium
male,24,39596,3905,0,photography,124,1,android,fr,1983,261,83,0.0588,2781,high
other,56,4174,8887,1,politics,100,1,android,de,201,28,19,0.0594,530,high
female,42,92391,4557,0,photography,108,0,iphone,es,4727,686,410,0.063,0,high
other,51,91880,4903,0,art,98,1,tablet,fr,4577,229,88,0.0533,618,low
female,35,46588,1119,0,food,145,1,iphone,en,2289,227,41,0.0549,2470,low
male,24,77493,6053,0,art,150,1,tablet,en,3836,250,120,0.0543,1346,low
other,37,85479,7381,0,fashion,152,1,tablet,de,4395,609,201,0.0609,3396,high
female,25,60136,120,0,gaming,71,0,iphone,de,3028,388,109,0.0586,359,medium
female,31,72378,2574,0,technology,106,0,iphone,en,3677,492,183,0.0601,660,high
male,24,72356,224,0,politics,127,1,web,de,3705,453,43,0.0581,2629,medium
other,17,73590,701,0,pets,149,0,web,fr,3739,330,208,0.0581,0,medium
male,23,4698,3295,0,books,85,0,tablet,de,227,23,5,0.0543,1899,low
other,60,22483,9006,0,travel,106,0,android,de,1096,135,94,0.0589,2024,high
female,32,55831,945,0,food,166,0,web,de,2846,267,85,0.0573,3008,medium
male,57,92436,704,0,finance,120,1,iphone,en,4606,559,317,0.0593,1281,high
female,60,28669,4248,0,music,111,1,web,de,1382,198,56,0.0571,1782,medium
female,42,28213,1414,0,travel,100,0,tablet,en,1489,91,124,0.0604,681,high
female,48,17648,8412,0,health,96,0,tablet,fr,884,77,79,0.0589,569,high
female,38,56813,6634,0,music,123,1,android,fr,2820,380,119,0.0584,0,medium
male,26,21046,6852,0,politics,96,1,android,fr,1140,139,75,0.0643,750,high
male,34,75651,342,0,finance,89,1,iphone,es,3782,559,374,0.0623,884,high
female,28,18614,5143,0,education,87,1,iphone,es,911,135,24,0.0575,637,medium
other,24,3557,6722,0,books,56,0,tablet,en,182,23,13,0.0613,2437,high
male,50,82739,8914,0,travel,121,0,web,en,3994,563,125,0.0566,55,low
female,51,50324,8194,0,music,169,1,android,de,2596,200,46,0.0565,2052,low
female,47,99852,6941,0,fitness,83,1,android,en,4907,470,453,0.0584,1026,medium
male,29,13200,4211,0,books,162,0,web,es,673,63,32,0.0582,3080,medium
female,25,60136,120,0,fashion,70,0,iphone,tr,2963,291,271,0.0586,228,medium
female,22,55564,5227,0,finance,138,0,tablet,es,2758,156,72,0.0537,2474,low
female,16,12309,3322,0,travel,160,0,tablet,de,625,77,14,0.0582,3196,medium
male,28,60790,4496,0,travel,128,0,iphone,de,2951,340,140,0.0564,1381,low
male,60,87264,7794,0,music,125,1,web,de,4328,304,340,0.057,280,medium
other,37,66417,257,0,fashion,111,1,android,es,3351,176,252,0.0569,716,medium
female,58,29285,9227,0,health,198,1,tablet,fr,1465,169,70,0.0582,312,medium
female,22,55564,5227,0,art,151,0,tablet,en,2800,212,61,0.0553,2380,low
other,47,59568,1991,0,education,84,1,android,fr,3009,286,208,0.0588,2856,high
other,36,58691,1697,0,music,151,0,tablet,es,3041,325,280,0.0621,757,high
other,37,40768,3680,0,finance,119,1,tablet,es,2017,103,161,0.056,2387,low
other,24,78893,974,0,pets,134,1,iphone,fr,4057,323,383,0.0604,2358,high
male,54,65339,3322,0,gaming,127,0,web,fr,3225,244,107,0.0547,3185,low
female,37,28458,1689,0,books,150,0,tablet,fr,1462,211,110,0.0627,2553,high
other,58,40625,7181,0,music,157,0,android,fr,2035,276,114,0.0597,516,high
female,26,10184,9289,0,memes,91,0,android,fr,473,34,10,0.0508,2220,low
other,47,73361,3843,0,politics,76,0,iphone,es,3760,246,341,0.0593,3157,high
other,36,56074,4304,0,health,145,0,android,de,2779,194,252,0.0575,292,medium
other,59,37225,9767,0,music,107,0,iphone,es,1890,178,96,0.0581,489,medium
other,31,30460,1933,0,health,73,1,android,fr,1578,138,83,0.0591,349,high
female,56,831,6225,0,photography,110,1,iphone,fr,44,2,2,0.0578,0,medium
female,16,77336,2665,0,fitness,144,0,tablet,de,3797,254,293,0.0562,928,low
other,16,42998,1576,0,finance,145,1,android,es,2164,147,112,0.0564,305,low
other,45,42975,7992,0,photography,141,0,web,de,2079,185,103,0.0551,3020,low
other,29,19172,5295,0,technology,87,1,iphone,fr,963,140,96,0.0625,692,high
female,23,70226,2980,0,books,89,0,web,tr,3537,451,111,0.0584,591,medium
male,21,91852,7767,0,education,113,1,android,en,4635,392,177,0.0567,1916,medium
other,58,32366,4280,0,fitness,189,0,iphone,de,1598,204,155,0.0605,3409,high
male,19,70760,470,0,memes,103,0,web,tr,3564,460,161,0.0591,0,high
female,48,57842,4745,0,books,81,0,android,tr,2917,433,253,0.0623,1444,high
male,23,60014,8239,0,music,151,0,tablet,de,2914,174,117,0.0534,1297,low
other,28,15344,7582,0,politics,170,0,tablet,de,747,80,52,0.0573,2539,medium
other,52,52010,527,0,food,106,1,web,fr,2674,134,129,0.0565,3155,low
female,24,91380,5674,0,books,91,1,web,es,4632,648,380,0.0619,2576,high
female,44,45663,7196,0,pets,122,1,tablet,fr,2294,256,129,0.0587,2587,medium
other,18,53478,6060,0,health,102,1,iphone,de,2624,366,146,0.0586,2407,medium
other,19,99655,1343,0,books,162,1,tablet,en,4936,622,300,0.0588,2723,high
other,53,16647,5489,0,gaming,113,1,web,de,844,106,15,0.058,2452,medium
female,51,40481,1485,0,gaming,123,1,tablet,tr,2099,218,53,0.0585,37,medium
male,36,21681,3744,0,fitness,101,1,iphone,en,1077,108,80,0.0583,773,medium
female,24,88083,9217,1,pets,82,1,tablet,fr,4364,647,74,0.0577,2508,medium
male,56,23771,8507,0,food,132,1,web,es,1229,150,106,0.0625,2697,high
female,18,46177,5826,0,health,139,1,web,tr,2257,294,178,0.0591,3232,high
female,34,709,2197,0,art,126,1,iphone,en,47,4,1,0.0733,3418,high
other,47,68509,146,0,pets,124,1,tablet,fr,3437,432,180,0.0591,2763,high
female,45,33823,5061,0,food,99,0,web,fr,1640,144,26,0.0535,0,low
other,47,79543,3714,0,technology,97,1,iphone,de,4062,522,49,0.0582,2767,medium
other,25,43317,9443,0,fashion,109,1,tablet,en,2193,305,184,0.0619,0,high
female,36,83056,296,0,finance,119,0,tablet,tr,4127,467,406,0.0602,2782,high
other,37,88400,665,0,technology,94,1,web,tr,4486,239,91,0.0545,3107,low
female,49,88010,5184,0,fashion,167,0,iphone,es,4485,657,345,0.0623,1109,high
male,23,75548,3959,0,photography,87,1,tablet,fr,3779,310,371,0.059,150,high
female,42,44023,967,0,books,94,0,iphone,en,2245,282,158,0.061,3058,high
female,16,79894,206,0,books,91,1,tablet,de,4032,202,226,0.0558,3139,low
male,17,47274,3312,0,photography,119,0,tablet,fr,2433,159,239,0.0599,202,high
female,20,12174,1891,0,food,171,1,web,fr,600,65,7,0.0552,277,low
female,56,48822,7104,0,politics,115,0,android,en,2452,239,71,0.0566,2292,low
other,44,22662,4624,0,technology,63,1,tablet,es,1130,115,32,0.0563,2631,low
other,25,97410,4512,0,memes,141,0,iphone,es,4826,365,57,0.0539,2347,low
female,58,39018,1206,0,fashion,80,0,iphone,de,1814,191,57,0.0528,2167,low
female,19,36358,5366,0,food,90,1,android,tr,1863,189,78,0.0586,118,medium
other,53,1159,2419,0,gaming,108,0,android,es,48,6,2,0.0483,476,low
female,24,88083,9217,1,politics,89,1,tablet,en,4459,257,152,0.0553,2381,low
female,56,6887,5055,0,travel,106,1,tablet,de,351,29,22,0.0584,0,medium
male,56,75883,3452,0,fitness,90,0,iphone,fr,3657,371,113,0.0546,2556,low
male,42,66617,1046,0,finance,149,0,tablet,fr,3337,438,72,0.0577,3609,medium
other,52,31796,1169,0,education,170,1,android,en,1592,79,25,0.0533,2748,low
female,50,94759,4747,1,fitness,113,1,android,fr,4802,552,439,0.0611,2092,high
female,29,57315,2139,0,books,137,1,android,fr,2856,230,129,0.0561,257,low
male,34,42616,5923,0,fashion,166,1,web,fr,2182,323,122,0.0616,92,high
male,23,90844,4674,0,pets,100,1,web,de,4525,423,139,0.056,1654,low
female,51,32583,5042,0,photography,88,0,web,en,1583,189,85,0.057,47,medium
other,41,30938,7383,0,food,97,1,web,es,1552,192,141,0.0609,70,high
other,54,36544,1275,0,politics,113,1,web,tr,1847,123,88,0.0563,287,low
male,16,20490,3974,0,technology,104,1,iphone,tr,1029,78,58,0.0569,1446,medium
male,25,58288,9238,0,fashion,98,1,android,es,2902,432,129,0.0594,2607,high
female,56,45282,1242,0,technology,113,0,web,de,2244,333,71,0.0585,2666,medium
other,21,78363,3104,0,technology,163,1,android,en,3769,211,84,0.0519,672,low
male,43,79871,2193,0,fashion,83,0,android,en,4070,230,196,0.0563,1914,low
female,52,60852,9361,0,education,95,1,android,de,3039,254,278,0.0587,2351,medium
female,26,83038,2331,0,photography,105,0,tablet,fr,4150,514,251,0.0592,3236,high
female,42,13050,514,0,memes,235,0,iphone,en,625,73,30,0.0558,662,low
other,47,16348,698,0,books,97,0,tablet,tr,809,96,65,0.0593,446,high
male,57,19186,8743,0,memes,128,1,web,de,971,140,48,0.0604,185,high
male,40,83917,3362,0,politics,84,0,iphone,es,4172,248,95,0.0538,3324,low
female,41,16066,7975,0,technology,84,0,android,tr,803,57,47,0.0565,0,low
other,19,78452,4059,0,fitness,127,0,web,es,3951,586,302,0.0617,0,high
other,27,97687,6222,1,health,161,0,iphone,en,4755,524,273,0.0568,1528,medium
male,30,41493,2188,0,fitness,77,0,web,fr,2167,306,118,0.0624,1903,high
male,22,35478,1324,0,finance,98,1,web,es,1760,110,81,0.055,3100,low
male,27,86421,9865,0,education,147,0,iphone,fr,4313,414,257,0.0577,2807,medium
male,28,902,7118,0,fashion,112,1,android,de,59,6,2,0.0743,3600,high
other,43,65260,1109,0,gaming,152,1,tablet,de,3208,461,159,0.0587,3159,medium
other,24,79407,7881,1,health,88,1,iphone,fr,3875,498,294,0.0588,1718,high
male,50,12677,8786,1,travel,103,1,web,de,594,73,44,0.0561,2451,low
female,32,15535,7361,0,memes,113,1,android,en,725,87,37,0.0547,1473,low
female,22,1401,4488,0,fitness,134,0,web,es,80,10,6,0.0685,3046,high
female,48,41906,2121,1,memes,182,1,web,es,2142,209,106,0.0586,1705,medium
male,31,45778,3429,0,politics,71,0,iphone,tr,2223,126,61,0.0526,3282,low
male,59,93739,8771,0,photography,58,0,tablet,tr,4712,506,282,0.0587,2442,medium
male,46,18544,6728,0,gaming,94,0,tablet,es,949,78,81,0.0597,1935,high
male,27,14094,479,0,pets,143,0,android,de,687,55,16,0.0538,1179,low
female,41,7445,1219,0,education,117,1,iphone,de,387,26,5,0.0561,2033,low
female,36,72808,2065,1,education,125,1,web,fr,3618,304,268,0.0575,0,medium
male,47,96892,5230,0,memes,87,1,web,en,4812,457,148,0.0559,2213,low
other,33,48228,7626,0,food,147,1,android,en,2472,305,100,0.0597,1336,high
other,23,20156,8566,0,pets,217,0,iphone,es,1032,126,14,0.0581,831,medium
female,55,61793,560,0,gaming,73,1,iphone,en,3007,225,275,0.0568,323,medium
male,48,36558,3698,0,food,164,1,web,en,1828,195,99,0.058,994,medium
female,19,32470,3027,1,health,96,0,web,en,1602,214,33,0.0569,2546,medium
other,18,84375,7636,0,finance,92,1,iphone,es,4198,351,204,0.0563,2160,low
male,45,40383,2846,0,books,118,0,android,en,2089,207,29,0.0576,3184,medium
other,37,50546,8748,1,food,138,0,android,de,2501,188,234,0.0578,2931,medium
other,30,79420,8934,0,photography,131,0,tablet,tr,4115,239,327,0.0589,1932,high
female,30,52076,1436,0,food,65,0,android,fr,2623,342,34,0.0576,273,medium
other,17,56004,8951,0,technology,114,0,iphone,es,2768,179,143,0.0552,0,low
male,36,17390,8740,0,education,183,0,web,fr,884,101,58,0.06,3048,high
female,55,38221,7109,1,finance,173,1,tablet,en,1951,262,182,0.0627,921,high
other,41,60483,3263,0,finance,201,1,tablet,en,2936,184,184,0.0546,2530,low
other,54,79420,6549,0,technology,112,1,web,de,3840,427,295,0.0574,820,medium
female,18,25342,9962,0,finance,75,0,web,es,1261,184,109,0.0613,2493,high
other,52,86091,4983,0,travel,162,1,android,fr,4276,298,221,0.0557,1889,low
male,29,5859,6785,0,health,145,1,android,de,272,13,10,0.0503,1650,low
male,37,2899,4040,0,music,227,0,iphone,es,149,18,14,0.0624,1892,high
male,19,4344,2092,1,pets,88,0,android,tr,192,27,7,0.052,1085,low
male,16,11339,914,0,music,109,0,iphone,tr,524,30,28,0.0513,1411,low
male,52,63991,8087,0,pets,136,0,web,tr,3234,419,201,0.0602,390,high
other,32,86464,2170,0,technology,111,0,web,de,4214,440,68,0.0546,1266,low
female,46,59185,6119,0,finance,94,0,android,de,2939,193,97,0.0546,3399,low
other,19,78775,8186,0,health,109,1,tablet,fr,3916,396,297,0.0585,3216,medium
female,47,24214,7813,0,books,124,0,tablet,fr,1241,165,76,0.0612,90,high
male,22,45544,6273,0,finance,113,0,android,en,2267,222,98,0.0568,1903,medium
female,42,42189,1784,0,fashion,82,1,tablet,en,2044,306,22,0.0562,2285,low
other,39,88139,7227,0,gaming,83,1,tablet,en,4267,452,132,0.055,3059,low
female,31,23622,8724,0,gaming,95,1,tablet,fr,1134,147,40,0.0559,2978,low
female,18,9436,2089,0,art,131,0,web,es,488,44,36,0.0602,2267,high
